,111,211,CH3CCH,CH3CCH*,CH3CCH2*,CH3CCH3*,CH3CH2C*,CH3CH2CH*,CH3CH2CH2*,CH3CH2CH3,CH3CH2CH3*,CH3CHC*,CH3CHCH*,CH3CHCH2,CH3CHCH2*,CH3CHCH3*,CH3CC*,CH3CCH*,CH3CCH2*,CH3CCH3*,CH3CH2C*,CH3CH2CH*,CH3CH2CH2*,CH3CH2CH3*,CH3CHC*,CH3CHCH*,CH3CHCH2*,CH3CHCH3,CH3CHCH3*,H*,X,r,E,M,rou,Er,Ea
111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.34,0.8
112,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.04,0.8
113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.05,0.82
114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.06,0.83
115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.04,0.84
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.07,0.84
117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.09,0.85
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.16,0.88
119,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.22,0.9
120,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.2,0.93
