,X,r,E,M,rou,Er,Ea
92,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.67,0.38
93,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.33,0.42
96,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.33,0.54
98,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.19,0.62
100,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.24,0.68
101,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.07,0.69
102,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.06,0.7
103,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.23,0.7
104,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.15,0.72
105,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.03,0.73
106,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.06,0.76
107,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.14,0.76
109,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.01,0.77
110,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.07,0.77
113,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.05,0.82
115,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.04,0.84
116,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.07,0.84
117,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.09,0.85
118,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.16,0.88
119,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.22,0.9
120,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.2,0.93
121,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,-0.02,0.93
122,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.0,0.94
123,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.22,1.0
124,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.31,1.03
125,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.26,1.04
126,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.44,1.25
128,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.75,1.38
129,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.56,1.39
135,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.75,1.38
136,0.5623069573111632,0.659009531040133,1.1230179603209869,1.052211732585053,1.0443603937641206,0.56,1.39
139,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,-0.47,0.51
140,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.01,0.87
141,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,-0.03,0.87
142,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.05,0.9
143,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.03,0.96
144,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.1,0.98
145,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.18,1.06
146,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.37,1.17
147,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.55,1.2
148,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.58,1.27
149,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.43,1.28
150,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.48,1.3
151,0.11831248145414741,0.2734665400914812,0.1544979404496433,-0.6472267059604776,-0.768102371685051,0.49,1.38
156,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.55,0.04
157,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.96,0.09
158,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.4,0.35
159,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.12,0.39
160,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.14,0.42
161,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.22,0.5
162,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.14,0.53
163,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.15,0.81
164,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.07,0.81
165,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,0.26,0.87
166,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,-0.11,0.87
167,0.11831248145414741,-0.1120764508571706,0.6827815876521943,0.9592467379206514,1.2596263849945633,0.65,1.13
