iter	Passed	Remaining
837	11261	1773
838	11270	1759
839	11278	1745
840	11287	1731
841	11295	1717
842	11304	1703
843	11312	1688
844	11321	1674
845	11331	1660
846	11339	1646
847	11350	1632
848	11357	1618
849	11366	1604
850	11374	1590
851	11384	1576
852	11391	1562
853	11401	1548
854	11409	1534
855	11418	1520
856	11426	1506
857	11436	1492
858	11444	1478
859	11454	1465
860	11469	1451
861	11484	1438
862	11500	1425
863	11511	1412
864	11532	1399
865	11547	1386
866	11559	1373
867	11577	1360
868	11588	1346
869	11601	1333
870	11616	1320
871	11631	1307
872	11645	1293
873	11658	1280
874	11671	1267
875	11683	1253
876	11699	1240
877	11718	1227
878	11734	1214
879	11749	1201
880	11763	1188
881	11780	1175
882	11796	1162
883	11812	1149
884	11823	1135
885	11835	1122
886	11848	1108
887	11863	1095
888	11873	1081
889	11884	1068
890	11900	1055
891	11913	1041
892	11924	1028
893	11935	1014
894	11951	1001
895	11966	988
896	11982	975
897	11997	961
898	12007	948
899	12018	934
900	12031	921
901	12046	908
902	12059	894
903	12075	881
904	12089	868
905	12102	854
906	12113	841
907	12127	828
908	12140	814
909	12155	801
910	12170	788
911	12184	774
912	12200	761
913	12214	748
914	12225	734
915	12239	721
916	12255	708
917	12267	694
918	12280	681
919	12294	668
920	12309	654
921	12323	641
922	12336	628
923	12349	614
924	12364	601
925	12378	588
926	12390	574
927	12401	561
928	12419	548
929	12431	534
930	12444	521
931	12456	507
932	12469	494
933	12481	481
934	12495	467
935	12508	454
936	12522	441
937	12536	427
938	12547	414
939	12557	400
940	12577	387
941	12590	374
942	12606	360
943	12625	347
944	12639	334
945	12651	320
946	12663	307
947	12679	294
948	12694	280
949	12706	267
950	12719	254
951	12734	240
952	12748	227
953	12760	214
954	12775	200
955	12789	187
956	12804	173
957	12817	160
958	12833	147
959	12845	133
960	12858	120
961	12875	107
962	12886	93
963	12900	80
964	12913	66
965	12926	53
966	12937	40
967	12951	26
968	12963	13
969	12976	0
